Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh),Month,Total Energy Generation (TWh)
Australia,2000,689.49,37230.62,61.16,36.93,28.59,26.34,1246.94,0.42,Apr,659.28
Australia,2000,2592.27,24447.77,47.42,20.03,45.36,31.3,146.16,0.16,Aug,2702.72
Australia,2000,730.15,36313.81,80.62,53.88,47.77,29.6,2947.23,0.35,Dec,737.3
Australia,2000,2929.11,45335.74,75.6,41.07,54.83,15.34,636.74,0.27,Feb,2899.23
Australia,2000,5892.49,32333.13,29.01,38.07,59.32,15.82,2781.88,0.15,Jan,5441.14
Australia,2000,468.59,38708.44,83.97,35.63,32.27,33.17,2094.46,0.47,Jul,432.7
Australia,2000,5969.76,7002.6,9.39,25.0,32.39,24.07,1751.21,0.18,Jun,5424.8
Australia,2000,3982.07,34832.51,57.65,66.14,53.42,34.44,4873.59,0.31,Mar,4101.24
Australia,2000,1079.63,34928.05,64.12,24.62,39.52,34.89,3546.03,0.37,May,1069.01
Australia,2000,8810.22,5928.52,17.89,75.83,24.66,37.41,2975.69,0.35,Nov,8864.94
Australia,2000,3493.13,27097.18,56.51,72.36,53.01,37.47,586.8,0.38,Oct,3154.6
Australia,2001,765.56,49467.96,82.84,56.72,40.66,33.1,154.01,0.35,Apr,800.38
Australia,2001,9002.3,38774.02,78.49,56.67,55.72,36.56,4633.14,0.13,Aug,9226.15
Australia,2001,1341.25,2657.68,23.87,27.5,43.42,13.72,2797.98,0.26,Dec,1249.84
Australia,2001,2580.66,18280.37,38.63,67.59,38.67,20.75,2487.36,0.21,Feb,2392.98
Australia,2001,8372.33,25770.69,48.3,18.63,30.24,16.52,3203.76,0.34,Jan,7765.43
Australia,2001,580.48,32916.4,22.32,53.38,25.54,20.99,1180.99,0.43,Jul,548.92
Australia,2001,4562.11,10006.46,56.92,48.77,32.29,15.28,718.97,0.34,Jun,4465.0
Australia,2001,2767.44,19272.82,62.92,61.96,52.15,10.72,1210.4,0.35,Mar,2670.0
Australia,2001,7443.65,40561.21,5.3,27.02,32.69,20.47,3627.57,0.08,May,7024.46
Australia,2001,5934.45,49139.58,63.84,76.18,58.83,32.76,1005.11,0.45,Nov,5885.66
Australia,2001,9082.17,23084.68,49.88,75.42,49.33,14.47,2858.02,0.45,Oct,8363.99
Australia,2001,7891.2,18369.24,85.23,30.5,33.24,18.68,1652.56,0.19,Sep,7447.89
Australia,2002,5918.91,48372.36,83.98,35.63,51.12,39.19,162.34,0.22,Apr,5652.29
Australia,2002,3319.86,12156.3,19.9,61.99,22.03,15.57,2516.28,0.25,Aug,3214.99
Australia,2002,5806.41,11912.06,89.54,54.11,54.85,10.9,3802.87,0.18,Dec,5909.63
Australia,2002,8910.65,35881.48,24.57,23.5,43.62,21.94,4133.15,0.27,Jan,8286.47
Australia,2002,4129.02,26500.33,36.06,38.49,29.49,22.19,892.76,0.45,Jul,4034.61
Australia,2002,9459.05,5282.76,80.21,17.9,27.5,24.05,2287.24,0.19,Jun,9353.7
Australia,2002,8608.28,15296.5,8.9,19.12,42.14,36.03,3752.95,0.14,Mar,7807.43
Australia,2002,6377.47,958.71,20.34,10.73,20.77,38.85,2679.43,0.18,May,6320.91
Australia,2002,8967.44,4625.8,68.77,29.04,34.56,18.97,3912.86,0.18,Nov,8300.07
Australia,2002,7194.96,17132.31,21.56,28.87,48.69,34.07,3789.12,0.08,Oct,6545.67
Australia,2002,4172.09,19118.06,69.53,49.19,35.13,12.46,3008.11,0.16,Sep,4348.71
Australia,2003,3553.73,38847.99,63.18,21.56,25.84,11.37,576.84,0.24,Apr,3713.1
Australia,2003,6595.76,23753.86,17.72,28.88,58.0,18.07,3040.14,0.42,Aug,6735.98
Australia,2003,675.7,31850.72,21.06,52.46,57.85,11.28,409.07,0.26,Feb,639.0
Australia,2003,4575.73,9467.05,67.36,56.06,48.15,32.48,4756.39,0.24,Jan,4185.2
Australia,2003,3525.42,31987.55,60.74,53.8,44.95,23.41,4283.87,0.19,Jul,3534.71
Australia,2003,1678.65,2006.09,33.54,18.23,42.42,28.03,1487.4,0.18,Jun,1621.61
Australia,2003,6730.51,11918.95,18.28,59.09,53.3,24.42,1107.67,0.41,Mar,6180.67
Australia,2003,6826.53,16659.05,11.99,71.47,37.04,31.09,1164.0,0.08,May,6650.93
Australia,2003,2255.85,38818.3,57.13,57.89,59.6,39.5,3517.32,0.27,Nov,2041.9
Australia,2003,7242.62,29524.94,68.47,77.29,51.58,36.18,1970.65,0.25,Sep,7506.24
Australia,2004,4011.38,19357.03,59.6,58.81,48.68,12.18,2689.68,0.13,Apr,3765.95
Australia,2004,5187.19,24391.29,72.15,44.9,39.48,24.51,3757.8,0.42,Aug,5183.97
Australia,2004,2376.26,46369.85,82.67,29.82,32.69,20.61,2983.43,0.21,Dec,2249.74
Australia,2004,1388.62,47907.4,6.11,42.93,34.73,29.2,2357.55,0.16,Feb,1358.08
Australia,2004,6548.86,48882.7,82.06,41.4,57.92,22.69,4948.09,0.36,Jan,6431.02
Australia,2004,2401.44,24811.08,87.3,79.55,52.75,10.89,1174.18,0.29,Jun,2227.88
Australia,2004,9249.95,46519.48,6.8,56.82,41.1,23.78,2607.2,0.46,Mar,9670.25
Australia,2004,4802.67,10679.44,74.34,37.66,41.73,34.73,1556.64,0.11,May,4880.81
Australia,2004,9519.84,31344.18,28.95,47.72,42.01,19.37,3637.71,0.38,Nov,9909.44
Australia,2004,4544.42,9353.41,51.52,35.85,44.58,15.07,2833.94,0.15,Oct,4699.95
Australia,2004,9269.65,35845.42,13.14,57.4,35.59,13.93,1166.71,0.48,Sep,9174.03
Australia,2005,7003.84,17804.44,13.27,75.87,37.27,12.12,1510.86,0.13,Apr,7271.95
Australia,2005,1079.02,13783.23,89.33,76.96,41.08,15.11,4388.81,0.07,Aug,985.44
Australia,2005,6708.54,26289.31,77.38,56.1,29.4,34.67,3577.49,0.09,Dec,6234.9
Australia,2005,4065.83,46418.07,52.64,49.2,35.75,21.35,4712.45,0.35,Feb,3686.83
Australia,2005,1448.66,41413.86,15.66,36.02,20.58,15.63,899.57,0.28,Jan,1374.49
Australia,2005,7944.27,24608.69,22.91,15.25,48.94,32.76,4327.94,0.26,Jul,7613.01
Australia,2005,3350.74,46158.73,54.86,73.69,55.49,33.13,434.02,0.34,Jun,3152.05
Australia,2005,7022.5,41898.99,10.15,72.72,52.79,26.41,1832.35,0.37,Mar,7193.22
Australia,2005,7702.58,44794.43,16.6,46.45,37.26,17.16,3252.36,0.33,May,7344.51
Australia,2005,3756.37,17531.83,65.0,44.03,32.6,19.14,942.83,0.29,Nov,3539.03
Australia,2005,9982.86,47946.16,23.77,35.15,22.91,18.12,3401.72,0.35,Oct,9797.22
Australia,2005,778.41,13796.28,45.05,75.26,45.0,11.2,322.36,0.39,Sep,717.02
Australia,2006,6473.03,48215.09,34.04,54.7,26.6,13.39,3423.58,0.27,Apr,6604.62
Australia,2006,3849.04,15194.96,51.2,47.5,34.22,30.61,4629.62,0.49,Aug,3507.18
Australia,2006,6594.54,24655.52,22.3,12.86,20.35,26.44,2875.62,0.43,Dec,6911.3
Australia,2006,6277.88,24287.68,6.25,42.55,36.77,16.68,997.36,0.21,Feb,6377.3
Australia,2006,872.03,32620.47,12.15,67.29,55.93,15.6,1583.87,0.4,Jan,810.82
Australia,2006,5922.12,4430.71,8.05,61.34,30.98,38.54,1566.56,0.19,Jul,5334.81
Australia,2006,1518.63,24345.25,30.1,64.8,21.91,15.66,4872.03,0.24,Jun,1552.52
Australia,2006,418.63,22925.21,40.71,47.03,41.37,23.58,1165.26,0.28,Mar,421.15
Australia,2006,7506.4,32393.09,21.28,72.2,55.19,17.17,2653.82,0.32,May,7576.59
Australia,2006,1136.58,39407.73,13.88,32.21,42.63,13.47,4104.77,0.27,Nov,1154.41
Australia,2006,4586.42,36897.15,80.67,10.92,33.21,26.41,3650.94,0.15,Oct,4178.72
Australia,2006,3731.42,28880.61,76.62,78.88,54.22,34.95,3477.58,0.31,Sep,3558.92
Australia,2007,6854.64,33200.06,78.36,22.12,59.43,18.48,2862.56,0.15,Apr,6288.31
Australia,2007,9516.26,47927.09,8.99,49.22,51.07,26.55,4290.96,0.45,Aug,9796.66
Australia,2007,8723.04,40338.86,6.07,69.25,34.62,26.62,990.45,0.16,Dec,8666.29
Australia,2007,572.31,48786.48,37.41,15.69,59.7,33.05,2600.12,0.06,Feb,543.49
Australia,2007,1458.45,40012.6,88.01,26.08,21.18,24.32,2816.04,0.17,Jan,1326.51
Australia,2007,1496.39,49747.26,14.01,56.85,53.76,22.13,834.81,0.14,Jul,1416.55
Australia,2007,9030.96,33634.86,87.72,66.16,47.93,14.82,4899.0,0.39,Jun,8568.37
Australia,2007,6512.78,14734.2,20.16,10.28,53.58,20.11,1141.56,0.13,Mar,6574.27
Australia,2007,4961.34,41656.37,22.24,46.05,40.75,33.67,3807.01,0.09,May,4939.68
Australia,2007,2766.52,18358.84,6.3,45.74,34.84,38.79,3058.59,0.25,Nov,2858.04
Australia,2007,1393.18,6999.97,6.08,69.84,39.21,36.75,2206.97,0.35,Oct,1352.54
Australia,2007,9533.41,18712.15,60.71,65.25,39.53,33.12,3090.65,0.21,Sep,8751.09
Australia,2008,9631.59,29214.55,86.97,37.81,49.39,20.52,3662.59,0.14,Apr,9698.88
Australia,2008,3849.19,21026.85,18.42,43.81,46.49,37.34,4399.39,0.11,Aug,3903.53
Australia,2008,1576.44,26766.46,29.52,44.51,38.19,37.29,4355.81,0.42,Dec,1551.52
Australia,2008,5278.3,9758.1,12.35,66.45,44.37,39.17,1377.5,0.11,Feb,5360.88
Australia,2008,6478.45,2837.82,21.57,22.92,53.96,34.47,2222.41,0.2,Jul,6310.46
Australia,2008,1600.95,21762.5,71.21,39.16,56.08,27.06,4990.83,0.34,Jun,1566.39
Australia,2008,2924.11,14156.99,40.88,37.97,40.16,13.72,1677.61,0.12,Mar,2819.23
Australia,2008,7970.01,47896.94,83.85,61.19,37.18,35.51,1617.83,0.12,May,7203.4
Australia,2008,5505.47,18106.09,71.38,42.79,28.0,22.27,600.07,0.29,Nov,5044.02
Australia,2008,7106.83,31598.37,44.98,10.11,38.49,26.84,3356.65,0.08,Sep,6429.65
Australia,2009,2893.57,39207.39,56.46,79.25,22.07,36.1,279.63,0.26,Apr,2880.44
Australia,2009,2473.47,13833.56,46.74,17.34,36.0,19.59,1423.13,0.22,Aug,2342.76
Australia,2009,9514.59,27373.3,62.88,19.94,20.11,34.16,1804.15,0.27,Dec,9288.96
Australia,2009,2272.21,4179.28,8.22,46.48,50.24,26.98,2987.31,0.16,Feb,2354.32
Australia,2009,299.6,6544.26,33.22,48.5,37.4,35.3,3341.24,0.09,Jan,280.84
Australia,2009,3115.34,1261.09,13.91,55.84,37.58,25.35,1727.25,0.24,Jul,2995.58
Australia,2009,7274.62,22385.47,19.5,43.16,27.63,12.73,1876.75,0.06,Jun,7371.61
Australia,2009,6124.86,34667.64,80.44,24.92,48.06,17.7,3894.78,0.21,Mar,5722.58
Australia,2009,3478.96,6738.88,12.74,62.38,58.43,28.37,3268.58,0.37,May,3171.24
Australia,2009,3325.1,11956.95,87.67,47.66,27.9,36.73,2221.17,0.06,Nov,3137.11
Australia,2009,475.38,9470.8,30.24,59.37,23.9,11.89,3352.96,0.2,Oct,439.34
Australia,2009,1942.4,28993.38,84.01,30.3,31.3,13.77,836.17,0.07,Sep,2019.04
Australia,2010,1398.73,19935.93,70.24,56.11,32.54,35.37,2901.1,0.12,Apr,1428.41
Australia,2010,511.87,24243.53,78.63,41.97,29.32,34.56,3882.16,0.37,Aug,509.32
